,Irradiation_W,Price,CONSUMPTION
0,0.0,68.0,4342.29517677774
1,0.0,62.7,2878.178359247494
2,0.0,56.0,2890.692178200744
3,0.0,50.1,3153.482376218993
4,0.0,50.0,2803.095445527994
5,0.0,48.0,2853.150721340994
6,0.0,50.0,2853.150721340994
7,0.0,40.0,3729.118048068492
8,157.54,45.9,5255.8039603649895
9,336.75,56.35,3704.090410161992
10,479.32,60.5,4517.48864212324
11,563.72,60.0,763.3429561482484
12,574.07,67.5,625.6909476624987
13,524.34,66.0,625.6909476624987
14,416.9,66.0,6031.660735466488
15,244.18,66.2,4029.449702946492
16,11.86,86.75,4842.84793490774
17,0.0,90.0,4066.9911598062417
18,0.0,75.2,3616.493677489242
19,0.0,66.9,5443.511244663739
20,0.0,62.7,8121.468500659233
21,0.0,63.0,9047.49110319973
22,0.0,50.0,8108.954681705984
23,0.0,64.5,5105.638132925989
24,0.0,64.0,4354.80899573099
25,0.0,58.0,3140.968557265743
26,0.0,50.0,3003.316548779994
27,0.0,50.0,2665.443437042245
28,0.0,45.5,2765.553988668244
29,0.0,45.1,2740.526350761744
30,0.0,54.8,3078.399462499493
31,0.0,52.1,3328.675841564493
32,163.54,58.5,5718.815261635238
33,346.84,60.95,4279.726082011491
34,483.84,60.4,3366.217298424243
35,568.11,61.0,3716.604229115242
36,579.77,64.1,3466.3278500502424
37,533.5,64.0,3891.7976944607417
38,421.24,63.0,5656.246166868988
39,196.62,54.0,3616.493677489242
40,12.85,75.7,4742.73738328174
41,0.0,104.6,3140.968557265743
42,0.0,85.05,3140.968557265743
43,0.0,70.0,4016.9358839932415
44,0.0,62.0,9885.91697306748
45,0.0,59.0,7933.761216360483
46,0.0,51.0,7320.584087651235
47,0.0,63.0,4317.267538871241
48,0.0,63.0,4004.422065039992
49,0.0,62.0,2865.664540294244
50,0.0,58.0,2915.719816107244
51,0.0,51.4,2928.2336350604937
52,0.0,45.0,2552.8190664629947
53,0.0,44.0,2715.498712855244
54,0.0,46.5,2815.6092644812443
55,0.0,41.6,3704.090410161992
56,163.24,54.0,5055.582857112989
57,342.0,60.5,3891.7976944607417
58,484.75,62.0,4592.57155584274
59,568.88,60.0,3153.482376218993
60,581.86,66.0,4167.101711432241
61,535.55,66.0,5180.721046645489
62,421.05,64.0,5581.163253149488
63,255.29,55.0,7595.888104622734
