Hour,Irradiation_W
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,157.54
10,336.75
11,479.32
12,563.72
13,574.07
14,524.34
15,416.9
16,244.18
17,11.86
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,163.54
34,346.84
35,483.84
36,568.11
37,579.77
38,533.5
39,421.24
40,196.62
41,12.85
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,163.24
58,342
59,484.75
60,568.88
61,581.86
62,535.55
63,421.05
64,255.29
65,13.84
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,161.47
82,341.51
83,482.06
84,562.53
85,579
86,533.93
87,420.8
88,259.58
89,15.81
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,161.05
106,348.13
107,489.91
108,568.16
109,592.81
110,540.68
111,429.88
112,262.95
113,16.81
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,161.27
130,345.64
131,487.13
132,569.99
133,584.13
134,539.16
135,429.57
136,259.56
137,16.81
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,36.78
154,103.19
155,51.68
156,124.23
157,512.29
158,449.52
159,425.49
160,264.1
161,18.78
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,164.02
178,344.85
179,489.88
180,577.35
181,592.55
182,552.45
183,432.2
184,263.18
185,19.77
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,167.88
202,345.62
203,491.66
204,582.82
205,545.82
206,558.84
207,444.56
208,277.35
209,19.77
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,169.68
226,359.99
227,499.29
228,584.6
229,609.15
230,557.2
231,451.22
232,287.07
233,20.75
234,0
