Delivery_Start,Price,Volume,Trading_day,Contract
31/12/2018 23:00,60,"5,335.90",01-Jan,0
01/01/2019 00:00,60.12,"5,440.80",01-Jan,1
01/01/2019 01:00,55.76,"5,133.40",01-Jan,2
01/01/2019 02:00,46.23,"5,073.30",01-Jan,3
01/01/2019 03:00,44.1,"5,161.40",01-Jan,4
01/01/2019 04:00,44.41,"5,266.10",01-Jan,5
01/01/2019 05:00,46.03,"5,100.40",01-Jan,6
01/01/2019 06:00,51,"5,309.60",01-Jan,7
01/01/2019 07:00,39,"6,250.80",01-Jan,8
01/01/2019 08:00,44.17,"6,138.60",01-Jan,9
01/01/2019 09:00,51.3,"5,762.00",01-Jan,10
01/01/2019 10:00,57.94,"5,687.60",01-Jan,11
01/01/2019 11:00,54.09,"5,365.00",01-Jan,12
01/01/2019 12:00,57.95,"5,275.40",01-Jan,13
01/01/2019 13:00,65.85,"5,223.90",01-Jan,14
01/01/2019 14:00,70,"5,459.90",01-Jan,15
01/01/2019 15:00,48.9,"5,015.00",01-Jan,16
01/01/2019 16:00,69.93,"5,214.30",01-Jan,17
01/01/2019 17:00,84.84,"5,695.90",01-Jan,18
01/01/2019 18:00,70.57,"5,325.00",01-Jan,19
01/01/2019 19:00,69,"5,424.60",01-Jan,20
01/01/2019 20:00,60.43,"5,044.20",01-Jan,21
01/01/2019 21:00,53.89,"4,247.50",01-Jan,22
01/01/2019 22:00,50.44,"4,296.70",01-Jan,23
01/01/2019 23:00,49.01,"3,495.60",02-Jan,0
02/01/2019 00:00,51.96,"3,495.30",02-Jan,1
02/01/2019 01:00,52.45,"3,233.50",02-Jan,2
02/01/2019 02:00,49.92,"3,240.60",02-Jan,3
02/01/2019 03:00,48.53,"3,608.80",02-Jan,4
02/01/2019 04:00,47.99,"3,633.10",02-Jan,5
02/01/2019 05:00,50.05,"3,319.80",02-Jan,6
02/01/2019 06:00,62.82,"3,722.00",02-Jan,7
02/01/2019 07:00,50.04,"5,298.50",02-Jan,8
02/01/2019 08:00,53,"4,255.40",02-Jan,9
02/01/2019 09:00,56.37,"3,865.60",02-Jan,10
02/01/2019 10:00,58.71,"4,010.90",02-Jan,11
02/01/2019 11:00,57.95,"3,884.40",02-Jan,12
02/01/2019 12:00,63.44,"3,926.20",02-Jan,13
02/01/2019 13:00,62.94,"4,063.90",02-Jan,14
02/01/2019 14:00,63.93,"4,291.30",02-Jan,15
02/01/2019 15:00,65,"4,834.70",02-Jan,16
02/01/2019 16:00,81.1,"4,944.60",02-Jan,17
02/01/2019 17:00,109.95,"5,330.20",02-Jan,18
02/01/2019 18:00,85,"5,128.30",02-Jan,19
02/01/2019 19:00,79.94,"6,491.80",02-Jan,20
02/01/2019 20:00,66,"5,905.50",02-Jan,21
02/01/2019 21:00,55.93,"4,282.80",02-Jan,22
02/01/2019 22:00,50.11,"4,096.00",02-Jan,23
02/01/2019 23:00,55,"2,999.50",03-Jan,0
03/01/2019 00:00,54.99,"2,948.90",03-Jan,1
03/01/2019 01:00,55,"2,858.90",03-Jan,2
03/01/2019 02:00,54.92,"2,888.90",03-Jan,3
03/01/2019 03:00,51.08,"3,225.90",03-Jan,4
03/01/2019 04:00,51,"3,175.20",03-Jan,5
03/01/2019 05:00,51.91,"3,216.30",03-Jan,6
03/01/2019 06:00,61.4,"3,952.80",03-Jan,7
03/01/2019 07:00,62.74,"4,205.60",03-Jan,8
03/01/2019 08:00,70.2,"4,044.10",03-Jan,9
03/01/2019 09:00,74,"4,389.20",03-Jan,10
03/01/2019 10:00,69,"4,531.70",03-Jan,11
03/01/2019 11:00,70,"4,729.90",03-Jan,12
03/01/2019 12:00,65.3,"4,406.50",03-Jan,13
03/01/2019 13:00,64.92,"4,344.90",03-Jan,14
03/01/2019 14:00,63.58,"4,269.40",03-Jan,15
03/01/2019 15:00,72.4,"3,741.30",03-Jan,16
03/01/2019 16:00,102,"4,277.60",03-Jan,17
03/01/2019 17:00,134.6,"4,724.50",03-Jan,18
03/01/2019 18:00,110,"4,481.80",03-Jan,19
03/01/2019 19:00,80.07,"5,535.60",03-Jan,20
03/01/2019 20:00,69.94,"4,987.10",03-Jan,21
03/01/2019 21:00,63.3,"4,280.40",03-Jan,22
03/01/2019 22:00,54.09,"4,714.50",03-Jan,23
03/01/2019 23:00,57.47,"4,095.60",04-Jan,0
04/01/2019 00:00,59.2,"3,999.50",04-Jan,1
04/01/2019 01:00,59.47,"3,738.30",04-Jan,2
04/01/2019 02:00,51.1,"3,860.30",04-Jan,3
04/01/2019 03:00,51.02,"3,990.40",04-Jan,4
04/01/2019 04:00,50.33,"4,147.00",04-Jan,5
04/01/2019 05:00,55.5,"4,123.90",04-Jan,6
04/01/2019 06:00,63.76,"4,320.90",04-Jan,7
04/01/2019 07:00,65.07,"4,350.80",04-Jan,8
04/01/2019 08:00,74,"4,435.70",04-Jan,9
04/01/2019 09:00,79.59,"4,392.60",04-Jan,10
04/01/2019 10:00,77,"4,429.20",04-Jan,11
04/01/2019 11:00,64.94,"5,339.70",04-Jan,12
04/01/2019 12:00,65,"4,470.80",04-Jan,13
04/01/2019 13:00,65,"4,546.50",04-Jan,14
